15.9680 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC68CF0C70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC68CF0C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC68CF0A60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BC69000610>, multiSample=False, name='window1', numSamples=2, pos=(560, 340), screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9682 	EXP 	window1: mouseVisible = True
15.9682 	EXP 	window1: backgroundImage = ''
15.9682 	EXP 	window1: backgroundFit = 'none'
15.9715 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.9715 	EXP 	window1: recordFrameIntervals = False
16.1327 	EXP 	window1: recordFrameIntervals = True
16.3192 	EXP 	Screen (0) actual frame rate measured at 59.10Hz
16.3193 	EXP 	window1: recordFrameIntervals = False
16.3194 	EXP 	window1: mouseVisible = True
16.3656 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
20.3264 	EXP 	simon_task: status = STARTED
20.3268 	EXP 	window1: mouseVisible = True
20.4278 	EXP 	Created text_norm = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_norm', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.8)
20.4280 	EXP 	window1: mouseVisible = True
